city,year,weekofyear,week_start_date
sj,1990,18,1990-04-30
sj,1990,19,1990-05-07
sj,1990,20,1990-05-14
sj,1990,21,1990-05-21
sj,1990,22,1990-05-28
sj,1990,23,1990-06-04
sj,1990,24,1990-06-11
sj,1990,25,1990-06-18
sj,1990,26,1990-06-25
sj,1990,27,1990-07-02
sj,1990,28,1990-07-09
sj,1990,29,1990-07-16
sj,1990,30,1990-07-23
sj,1990,31,1990-07-30
sj,1990,32,1990-08-06
sj,1990,33,1990-08-13
sj,1990,34,1990-08-20
sj,1990,35,1990-08-27
sj,1990,36,1990-09-03
sj,1990,37,1990-09-10
sj,1990,38,1990-09-17
sj,1990,39,1990-09-24
sj,1990,40,1990-10-01
sj,1990,41,1990-10-08
sj,1990,42,1990-10-15
sj,1990,43,1990-10-22
sj,1990,44,1990-10-29
sj,1990,45,1990-11-05
sj,1990,46,1990-11-12
sj,1990,47,1990-11-19
sj,1990,48,1990-11-26
sj,1990,49,1990-12-03
sj,1990,50,1990-12-10
sj,1990,51,1990-12-17
sj,1990,52,1990-12-24
sj,1991,1,1991-01-01
sj,1991,2,1991-01-08
sj,1991,3,1991-01-15
sj,1991,4,1991-01-22
sj,1991,5,1991-01-29
sj,1991,6,1991-02-05
sj,1991,7,1991-02-12
sj,1991,8,1991-02-19
sj,1991,9,1991-02-26
sj,1991,10,1991-03-05
sj,1991,11,1991-03-12
sj,1991,12,1991-03-19
sj,1991,13,1991-03-26
sj,1991,14,1991-04-02
sj,1991,15,1991-04-09
sj,1991,16,1991-04-16
sj,1991,17,1991-04-23
sj,1991,18,1991-04-30
sj,1991,19,1991-05-07
sj,1991,20,1991-05-14
sj,1991,21,1991-05-21
sj,1991,22,1991-05-28
sj,1991,23,1991-06-04
sj,1991,24,1991-06-11
sj,1991,25,1991-06-18
sj,1991,26,1991-06-25
sj,1991,27,1991-07-02
sj,1991,28,1991-07-09
sj,1991,29,1991-07-16
sj,1991,30,1991-07-23
sj,1991,31,1991-07-30
sj,1991,32,1991-08-06
sj,1991,33,1991-08-13
sj,1991,34,1991-08-20
sj,1991,35,1991-08-27
sj,1991,36,1991-09-03
sj,1991,37,1991-09-10
sj,1991,38,1991-09-17
sj,1991,39,1991-09-24
sj,1991,40,1991-10-01
sj,1991,41,1991-10-08
sj,1991,42,1991-10-15
sj,1991,43,1991-10-22
sj,1991,44,1991-10-29
sj,1991,45,1991-11-05
sj,1991,46,1991-11-12
sj,1991,47,1991-11-19
sj,1991,48,1991-11-26
sj,1991,49,1991-12-03
sj,1991,50,1991-12-10
sj,1991,51,1991-12-17
sj,1991,52,1991-12-24
sj,1992,1,1992-01-01
sj,1992,2,1992-01-08
sj,1992,3,1992-01-15
